property_id,check_in_date,room_category,successful_bookings,capacity,occupancy
16559,2022-05-01,RT1,25,30,83%
19562,2022-05-01,RT1,28,30,93%
19563,2022-05-01,RT1,23,30,77%
17558,2022-05-01,RT1,13,19,68%
16558,2022-05-01,RT1,18,19,95%
17560,2022-05-01,RT1,28,40,70%
19558,2022-05-01,RT1,25,40,63%
19560,2022-05-01,RT1,23,26,88%
17561,2022-05-01,RT1,22,26,85%
16560,2022-05-01,RT1,24,34,71%
16561,2022-05-01,RT1,16,18,89%
16562,2022-05-01,RT1,20,31,65%
16563,2022-05-01,RT1,36,41,88%
17559,2022-05-01,RT1,26,32,81%
17562,2022-05-01,RT1,12,20,60%
17563,2022-05-01,RT1,21,25,84%
18558,2022-05-01,RT1,11,15,73%
18559,2022-05-01,RT1,29,42,69%
18561,2022-05-01,RT1,31,33,94%
18562,2022-05-01,RT1,34,38,89%
18563,2022-05-01,RT1,18,27,67%
19559,2022-05-01,RT1,18,24,75%
19561,2022-05-01,RT1,25,36,69%
17564,2022-05-01,RT1,9,16,56%
19562,2022-05-01,RT2,23,23,100%
18563,2022-05-01,RT2,21,29,72%
17561,2022-05-01,RT2,32,36,89%
17558,2022-05-01,RT2,38,50,76%
16562,2022-05-01,RT2,30,43,70%
16561,2022-05-01,RT2,24,24,100%
16558,2022-05-01,RT2,21,22,95%
19560,2022-05-01,RT2,37,38,97%
16563,2022-05-01,RT2,37,38,97%
16559,2022-05-01,RT2,35,41,85%
19559,2022-05-01,RT2,32,41,78%
19558,2022-05-01,RT2,25,39,64%
17559,2022-05-01,RT2,34,39,87%
16560,2022-05-01,RT2,25,34,74%
18562,2022-05-01,RT2,33,34,97%
18559,2022-05-01,RT2,29,44,66%
17563,2022-05-01,RT2,40,44,91%
17562,2022-05-01,RT2,19,30,63%
18558,2022-05-01,RT2,21,30,70%
17564,2022-05-01,RT2,25,40,63%
18561,2022-05-01,RT2,35,40,88%
18560,2022-05-01,RT2,34,40,85%
17560,2022-05-01,RT2,31,45,69%
19561,2022-05-01,RT2,35,45,78%
19563,2022-05-01,RT2,36,45,80%
19563,2022-05-01,RT3,20,29,69%
18560,2022-05-01,RT1,27,30,90%
19562,2022-05-01,RT3,25,29,86%
19561,2022-05-01,RT3,23,29,79%
18562,2022-05-01,RT3,28,29,97%
17558,2022-05-01,RT3,21,27,78%
17562,2022-05-01,RT3,15,27,56%
19559,2022-05-01,RT3,19,27,70%
16559,2022-05-01,RT3,27,32,84%
17560,2022-05-01,RT3,19,25,76%
18561,2022-05-01,RT3,23,25,92%
16561,2022-05-01,RT3,21,21,100%
16563,2022-05-01,RT3,17,20,85%
17561,2022-05-01,RT3,16,19,84%
18558,2022-05-01,RT3,18,26,69%
18560,2022-05-01,RT3,21,24,88%
18563,2022-05-01,RT3,16,23,70%
19560,2022-05-01,RT3,16,19,84%
17564,2022-05-01,RT3,16,24,67%
16560,2022-05-01,RT3,15,20,75%
16558,2022-05-01,RT3,8,8,100%
19558,2022-05-01,RT3,13,21,62%
16562,2022-05-01,RT3,14,18,78%
17559,2022-05-01,RT3,14,16,88%
17563,2022-05-01,RT3,14,16,88%
18559,2022-05-01,RT3,14,23,61%
19559,2022-05-01,RT4,2,3,67%
16562,2022-05-01,RT4,4,6,67%
17558,2022-05-01,RT4,4,6,67%
17562,2022-05-01,RT4,4,6,67%
19563,2022-05-01,RT4,4,6,67%
19558,2022-05-01,RT4,4,7,57%
19561,2022-05-01,RT4,5,7,71%
16560,2022-05-01,RT4,6,7,86%
16561,2022-05-01,RT4,9,10,90%
17560,2022-05-01,RT4,10,13,77%
18561,2022-05-01,RT4,8,9,89%
17564,2022-05-01,RT4,9,17,53%
18560,2022-05-01,RT4,14,15,93%
19560,2022-05-01,RT4,15,16,94%
18559,2022-05-01,RT4,11,19,58%
17563,2022-05-01,RT4,17,19,89%
19562,2022-05-01,RT4,13,14,93%
17559,2022-05-01,RT4,13,14,93%
18558,2022-05-01,RT4,14,20,70%
18562,2022-05-01,RT4,19,20,95%
18563,2022-05-01,RT4,13,18,72%
16563,2022-05-01,RT4,17,18,94%
16559,2022-05-01,RT4,17,18,94%
17561,2022-05-01,RT4,3,4,75%
16558,2022-05-01,RT4,3,3,100%
16559,2022-05-02,RT1,20,30,67%
18560,2022-05-02,RT1,21,30,70%
19562,2022-05-02,RT1,20,30,67%
19563,2022-05-02,RT1,14,30,47%
17558,2022-05-02,RT1,10,19,53%
16558,2022-05-02,RT1,12,19,63%
17560,2022-05-02,RT1,22,40,55%
19558,2022-05-02,RT1,16,40,40%
19560,2022-05-02,RT1,14,26,54%
17561,2022-05-02,RT1,15,26,58%
16560,2022-05-02,RT1,17,34,50%
16561,2022-05-02,RT1,11,18,61%
16562,2022-05-02,RT1,17,31,55%
16563,2022-05-02,RT1,25,41,61%
17559,2022-05-02,RT1,20,32,63%
17562,2022-05-02,RT1,9,20,45%
17563,2022-05-02,RT1,15,25,60%
18558,2022-05-02,RT1,8,15,53%
18559,2022-05-02,RT1,17,42,40%
18561,2022-05-02,RT1,24,33,73%
18562,2022-05-02,RT1,22,38,58%
18563,2022-05-02,RT1,14,27,52%
19559,2022-05-02,RT1,13,24,54%
19561,2022-05-02,RT1,20,36,56%
17564,2022-05-02,RT1,7,16,44%
19562,2022-05-02,RT2,15,23,65%
18563,2022-05-02,RT2,15,29,52%
17561,2022-05-02,RT2,23,36,64%
17558,2022-05-02,RT2,27,50,54%
16562,2022-05-02,RT2,21,43,49%
16561,2022-05-02,RT2,16,24,67%
16558,2022-05-02,RT2,14,22,64%
19560,2022-05-02,RT2,21,38,55%
16563,2022-05-02,RT2,23,38,61%
16559,2022-05-02,RT2,23,41,56%
19559,2022-05-02,RT2,19,41,46%
19558,2022-05-02,RT2,17,39,44%
17559,2022-05-02,RT2,26,39,67%
16560,2022-05-02,RT2,17,34,50%
18562,2022-05-02,RT2,17,34,50%
18559,2022-05-02,RT2,18,44,41%
17563,2022-05-02,RT2,28,44,64%
17562,2022-05-02,RT2,14,30,47%
18558,2022-05-02,RT2,14,30,47%
17564,2022-05-02,RT2,16,40,40%
18561,2022-05-02,RT2,25,40,63%
18560,2022-05-02,RT2,26,40,65%
17560,2022-05-02,RT2,23,45,51%
19561,2022-05-02,RT2,22,45,49%
19563,2022-05-02,RT2,20,45,44%
19563,2022-05-02,RT3,14,29,48%
19562,2022-05-02,RT3,18,29,62%
19561,2022-05-02,RT3,17,29,59%
18562,2022-05-02,RT3,18,29,62%
17558,2022-05-02,RT3,12,27,44%
17562,2022-05-02,RT3,12,27,44%
19559,2022-05-02,RT3,14,27,52%
16559,2022-05-02,RT3,20,32,63%
16558,2022-05-02,RT3,5,8,63%
18561,2022-05-02,RT3,18,25,72%
18558,2022-05-02,RT3,15,26,58%
16561,2022-05-02,RT3,13,21,62%
16563,2022-05-02,RT3,13,20,65%
17560,2022-05-02,RT3,13,25,52%
18560,2022-05-02,RT3,14,24,58%
17559,2022-05-02,RT3,9,16,56%
17563,2022-05-02,RT3,9,16,56%
18559,2022-05-02,RT3,9,23,39%
19558,2022-05-02,RT3,9,21,43%
17564,2022-05-02,RT3,9,24,38%
16560,2022-05-02,RT3,10,20,50%
17561,2022-05-02,RT3,10,19,53%
16562,2022-05-02,RT3,11,18,61%
18563,2022-05-02,RT3,11,23,48%
19560,2022-05-02,RT3,11,19,58%
19559,2022-05-02,RT4,2,3,67%
16558,2022-05-02,RT4,2,3,67%
17558,2022-05-02,RT4,4,6,67%
19563,2022-05-02,RT4,4,6,67%
19558,2022-05-02,RT4,4,7,57%
19561,2022-05-02,RT4,4,7,57%
18561,2022-05-02,RT4,5,9,56%
16561,2022-05-02,RT4,6,10,60%
17560,2022-05-02,RT4,6,13,46%
17564,2022-05-02,RT4,6,17,35%
18560,2022-05-02,RT4,11,15,73%
19560,2022-05-02,RT4,11,16,69%
18559,2022-05-02,RT4,9,19,47%
17563,2022-05-02,RT4,12,19,63%
19562,2022-05-02,RT4,8,14,57%
17559,2022-05-02,RT4,8,14,57%
18558,2022-05-02,RT4,10,20,50%
18562,2022-05-02,RT4,12,20,60%
18563,2022-05-02,RT4,11,18,61%
16563,2022-05-02,RT4,12,18,67%
16559,2022-05-02,RT4,12,18,67%
16562,2022-05-02,RT4,3,6,50%
17562,2022-05-02,RT4,3,6,50%
16560,2022-05-02,RT4,3,7,43%
17561,2022-05-02,RT4,3,4,75%
19563,2022-05-03,RT3,15,29,52%
